source_id,input_url,normalized_url,domain,scheme,homepage_url,robots_url,robots_ok,robots_sitemaps,robots_disallow_detected,robots_can_fetch_homepage,has_known_api,known_api_adapter,known_api_endpoint_hint,has_rss,rss_urls,rss_valid_count,has_sitemap,sitemap_urls,sitemap_url_count,html_status_code,html_title,html_text_length,html_link_count,html_extract_ok,sample_extracted_text_length,js_required,paywall_detected,captcha_detected,login_detected,best_strategy,tos_risk,status,error_message,profiled_at
aljazeera_com,https://www.aljazeera.com/,https://www.aljazeera.com/,aljazeera.com,https,https://www.aljazeera.com/,https://www.aljazeera.com/robots.txt,True,"[""https://www.aljazeera.com/news-sitemap.xml"", ""https://www.aljazeera.com/sitemaps/article-archive.xml"", ""https://www.aljazeera.com/sitemaps/article-new.xml"", ""https://www.aljazeera.com/sitemaps/video-archive.xml"", ""https://www.aljazeera.com/sitemaps/video-new.xml""]",True,True,False,,,True,"[""https://www.aljazeera.com/xml/rss/all.xml"", ""https://www.aljazeera.com/rss""]",2,True,"[""https://www.aljazeera.com/news-sitemap.xml"", ""https://www.aljazeera.com/sitemaps/article-archive.xml"", ""https://www.aljazeera.com/sitemaps/article-archive/2025/12.xml"", ""https://www.aljazeera.com/sitemaps/article-archive/2025/11.xml"", ""https://www.aljazeera.com/sitemaps/article-archive/2025/10.xml""]",5,200,"Breaking News, World News and Video from Al Jazeera",6081,121,True,757,True,False,False,True,rss_then_article_extract,medium,active,,2026-05-17 11:35:28.003694
apnews_com,https://apnews.com/,https://apnews.com/,apnews.com,https,https://apnews.com/,https://apnews.com/robots.txt,True,"[""https://apnews.com/ap-sitemap.xml"", ""https://apnews.com/news-sitemap-content.xml"", ""https://apnews.com/hubs-sitemap-content.xml"", ""https://apnews.com/video-sitemap.xml"", ""https://apnews.com/projects/elections-2026/sitemap-index.xml""]",True,True,False,,,False,[],0,True,"[""https://apnews.com/ap-sitemap.xml"", ""https://apnews.com/ap-sitemap-200602.xml"", ""https://apnews.com/ap-sitemap-200610.xml"", ""https://apnews.com/ap-sitemap-200706.xml"", ""https://apnews.com/ap-sitemap-200707.xml""]",5,200,"Associated Press News: Breaking News, Latest Headlines and Videos  | AP News",53818,1608,True,2687,False,True,True,True,sitemap_then_article_extract,medium,active,,2026-05-17 11:35:28.002351
bbc_com,https://www.bbc.com/news,https://www.bbc.com/news,bbc.com,https,https://www.bbc.com/news,https://www.bbc.com/robots.txt,True,"[""https://www.bbc.com/sitemaps/https-index-com-archive.xml"", ""https://www.bbc.com/sitemaps/https-index-com-news.xml"", ""https://www.bbc.com/sitemaps/https-index-com-archive_video.xml"", ""https://www.bbc.com/sitemaps/https-index-com-video.xml"", ""https://www.bbc.com/sitemaps/sitemap-com-ws-topics.xml"", ""https://www.bbc.com/sport/sitemap.xml"", ""https://www.bbc.com/sitemaps/sitemap-com-ws-topics.xml"", ""https://www.bbc.com/afrique/sitemap.xml"", ""https://www.bbc.com/arabic/sitemap.xml"", ""https://www.bbc.com/bengali/sitemap.xml"", ""https://www.bbc.com/burmese/sitemap.xml"", ""https://www.bbc.com/gahuza/sitemap.xml"", ""https://www.bbc.com/hausa/sitemap.xml"", ""https://www.bbc.com/hindi/sitemap.xml"", ""https://www.bbc.com/indonesia/sitemap.xml"", ""https://www.bbc.com/mundo/sitemap.xml"", ""https://www.bbc.com/pashto/sitemap.xml"", ""https://www.bbc.com/persian/sitemap.xml"", ""https://www.bbc.com/portuguese/sitemap.xml"", ""https://www.bbc.com/russian/sitemap.xml"", ""https://www.bbc.com/swahili/sitemap.xml"", ""https://www.bbc.com/tajik/sitemap.xml"", ""https://www.bbc.com/turkce/sitemap.xml"", ""https://www.bbc.com/ukchina/simp/sitemap.xml"", ""https://www.bbc.com/ukrainian/sitemap.xml"", ""https://www.bbc.com/urdu/sitemap.xml"", ""https://www.bbc.com/uzbek/sitemap.xml"", ""https://www.bbc.com/vietnamese/sitemap.xml"", ""https://www.bbc.com/zhongwen/simp/sitemap.xml"", ""https://www.bbc.com/zhongwen/trad/sitemap.xml"", ""https://www.bbc.com/bbcx/index_sitemap.xml"", ""https://www.bbc.com/bbcx/audio_archive_sitemap.xml"", ""https://www.bbc.com/bbcx/video_documentaries_sitemap.xml"", ""https://www.bbc.com/bbcx/content_index_sitemap.xml""]",True,True,False,,,False,[],0,True,"[""https://www.bbc.com/sitemaps/https-index-com-archive.xml"", ""https://www.bbc.com/sitemaps/https-sitemap-com-archive-1.xml"", ""https://www.bbc.com/sitemaps/https-sitemap-com-archive-2.xml"", ""https://www.bbc.com/sitemaps/https-sitemap-com-archive-3.xml"", ""https://www.bbc.com/sitemaps/https-sitemap-com-archive-4.xml""]",5,200,"BBC News - Breaking news, video and the latest top stories from the U.S. and around the world",9909,235,True,7079,True,True,False,False,sitemap_then_article_extract,medium,active,,2026-05-17 11:35:28.002351
dw_com,https://www.dw.com/,https://www.dw.com/,dw.com,https,https://www.dw.com/,https://www.dw.com/robots.txt,True,"[""https://www.dw.com/sitemap.xml""]",True,True,False,,,False,[],0,True,"[""https://www.dw.com/sitemap.xml"", ""https://www.dw.com/de/auto-topic-sitemap.xml"", ""https://www.dw.com/de/person-sitemap.xml"", ""https://www.dw.com/de/video-sitemap.xml"", ""https://www.dw.com/de/news-sitemap.xml""]",5,200,,46,0,False,46,True,True,False,False,sitemap_then_article_extract,medium,active,,2026-05-17 11:35:32.602178
france24_com,https://www.france24.com/en/,https://www.france24.com/en,france24.com,https,https://www.france24.com/en,https://www.france24.com/robots.txt,True,"[""https://www.france24.com/sitemaps/fr/index.xml"", ""https://www.france24.com/sitemaps/en/index.xml"", ""https://www.france24.com/sitemaps/es/index.xml"", ""https://www.france24.com/sitemaps/ar/index.xml"", ""https://www.france24.com/sitemaps/fr/news.xml"", ""https://www.france24.com/sitemaps/en/news.xml"", ""https://www.france24.com/sitemaps/es/news.xml"", ""https://www.france24.com/sitemaps/ar/news.xml""]",True,True,False,,,True,"[""https://www.france24.com/en/rss"", ""https://www.france24.com/rss"", ""https://www.france24.com/rss.xml"", ""https://www.france24.com/rss.htm"", ""https://www.france24.com/rss.html"", ""https://www.france24.com/rss/news.xml""]",6,True,"[""https://www.france24.com/sitemaps/fr/index.xml"", ""https://www.france24.com/sitemaps/fr/2007/contents_200710.xml"", ""https://www.france24.com/sitemaps/fr/2021/contents_202101.xml"", ""https://www.france24.com/sitemaps/fr/2025/contents_202506.xml"", ""https://www.france24.com/sitemaps/fr/2019/contents_201905.xml""]",5,200,"France 24 - International breaking news, top stories and headlines",27756,333,True,3631,False,True,False,False,rss_then_article_extract,medium,active,,2026-05-17 11:35:32.705140
gdeltproject_org,https://www.gdeltproject.org/,https://www.gdeltproject.org/,gdeltproject.org,https,https://www.gdeltproject.org/,https://www.gdeltproject.org/robots.txt,True,[],True,True,True,gdelt_collector,https://api.gdeltproject.org/api/v2/doc/doc,False,[],0,False,[],0,200,The GDELT Project,17969,92,True,13010,False,False,False,False,api_first,low,active,,2026-05-17 11:35:27.970796
reutersagency_com,https://reutersagency.com/,https://reutersagency.com/,reutersagency.com,https,https://reutersagency.com/,https://reutersagency.com/robots.txt,True,[],True,True,False,,,False,[],0,True,"[""https://reutersagency.com/sitemap.xml"", ""https://reutersagency.com/sitemap.xml.gz""]",2,200,"Reuters: The Trusted, International News Agency",13024,174,True,5624,False,True,False,False,sitemap_then_article_extract,medium,active,,2026-05-17 11:35:28.001296
theguardian_com,https://www.theguardian.com/international,https://www.theguardian.com/international,theguardian.com,https,https://www.theguardian.com/international,https://www.theguardian.com/robots.txt,True,"[""http://www.theguardian.com/sitemaps/news.xml"", ""http://www.theguardian.com/sitemaps/video.xml""]",True,True,False,,,True,"[""https://www.theguardian.com/international/rss"", ""https://www.theguardian.com/rss"", ""https://www.theguardian.com/news/rss"", ""https://www.theguardian.com/rss/news.xml""]",4,True,"[""http://www.theguardian.com/sitemaps/news.xml"", ""http://www.theguardian.com/sitemaps/video.xml""]",2,200,"Latest news, sport and opinion from the Guardian",20167,337,True,424,False,True,True,True,rss_then_article_extract,medium,active,,2026-05-17 11:35:32.796466
un_org,https://www.un.org/en/,https://www.un.org/en,un.org,https,https://www.un.org/en,https://www.un.org/robots.txt,True,[],True,True,False,,,True,"[""https://www.un.org/en/rss.xml"", ""https://www.un.org/rss.xml""]",2,False,[],0,200,"United Nations | Peace, dignity and equalityon a healthy planet",21609,288,True,841,False,False,False,False,rss_then_article_extract,medium,active,,2026-05-17 11:35:32.969462
worldbank_org,https://www.worldbank.org/,https://www.worldbank.org/,worldbank.org,https,https://www.worldbank.org/,https://www.worldbank.org/robots.txt,True,"[""https://www.worldbank.org/sitemap.xml""]",True,True,True,world_bank_collector,,False,[],0,True,"[""https://www.worldbank.org/sitemap.xml"", ""https://www.worldbank.org/content/vdam/sitemap/www-worldbank-org-Subnational/sitemap-www-worldbank-org-country-api-1.xml"", ""https://www.worldbank.org/content/vdam/sitemap/www-worldbank-org-Subnational/sitemap-www-worldbank-org-others-api-1.xml"", ""https://www.worldbank.org/content/vdam/sitemap/www-worldbank-org-bready/sitemap-www-worldbank-org-others-api-1.xml"", ""https://www.worldbank.org/content/vdam/sitemap/www-worldbank-org/sitemap-www-worldbank-org-1.xml""]",5,200,"World Bank Group - International Development, Poverty and Sustainability",8590,42,True,3075,False,False,False,False,api_first,low,active,,2026-05-17 11:35:33.425643
